"Day 3","02/01/2019 00:00","02/02/2019 00:00","24:00"
"Day 4","02/04/2019 00:00","02/05/2019 00:00","24:00"
"Day 5","02/05/2019 00:00","02/06/2019 00:00","24:00"
"Day 6","02/06/2019 00:00","02/07/2019 00:00","24:00"
"Day 1","02/07/2019 00:00","02/08/2019 00:00","24:00"
"Day 2","02/08/2019 00:00","02/09/2019 00:00","24:00"
"Day 3","02/11/2019 00:00","02/12/2019 00:00","24:00"
"Day 4","02/12/2019 00:00","02/13/2019 00:00","24:00"
"Day 5","02/13/2019 00:00","02/14/2019 00:00","24:00"
"Day 6","02/14/2019 00:00","02/15/2019 00:00","24:00"
"Day 1","02/15/2019 00:00","02/16/2019 00:00","24:00"
"Day 2","02/20/2019 00:00","02/21/2019 00:00","24:00"
"Day 3","02/21/2019 00:00","02/22/2019 00:00","24:00"
"Day 4","02/22/2019 00:00","02/23/2019 00:00","24:00"
"Day 5","02/25/2019 00:00","02/26/2019 00:00","24:00"
"Day 6","02/26/2019 00:00","02/27/2019 00:00","24:00"
"Day 1","02/27/2019 00:00","02/28/2019 00:00","24:00"
"Day 2","02/28/2019 00:00","03/01/2019 00:00","24:00"
"Day 3","03/01/2019 00:00","03/02/2019 00:00","24:00"
"Day 4","03/04/2019 00:00","03/05/2019 00:00","24:00"
"Day 5","03/05/2019 00:00","03/06/2019 00:00","24:00"
"Day 6","03/06/2019 00:00","03/07/2019 00:00","24:00"
"Day 1","03/07/2019 00:00","03/08/2019 00:00","24:00"
"Day 2","03/08/2019 00:00","03/09/2019 00:00","24:00"
"Day 3","03/11/2019 00:00","03/12/2019 00:00","24:00"
"Day 4","03/12/2019 00:00","03/13/2019 00:00","24:00"
"Day 5","03/13/2019 00:00","03/14/2019 00:00","24:00"
"Day 6","03/14/2019 00:00","03/15/2019 00:00","24:00"
"Day 1","03/15/2019 00:00","03/16/2019 00:00","24:00"
"Day 2","04/01/2019 00:00","04/02/2019 00:00","24:00"
"Day 3","04/02/2019 00:00","04/03/2019 00:00","24:00"
"Day 4","04/03/2019 00:00","04/04/2019 00:00","24:00"
"Day 5","04/04/2019 00:00","04/05/2019 00:00","24:00"
"Day 6","04/05/2019 00:00","04/06/2019 00:00","24:00"
"Day 1","04/08/2019 00:00","04/09/2019 00:00","24:00"
"Day 2","04/09/2019 00:00","04/10/2019 00:00","24:00"
"Day 3","04/10/2019 00:00","04/11/2019 00:00","24:00"
"Day 4","04/15/2019 00:00","04/16/2019 00:00","24:00"
"Day 5","04/16/2019 00:00","04/17/2019 00:00","24:00"
"Day 6","04/17/2019 00:00","04/18/2019 00:00","24:00"
"Day 1","04/18/2019 00:00","04/19/2019 00:00","24:00"
"Day 2","04/23/2019 00:00","04/24/2019 00:00","24:00"
"Day 3","04/24/2019 00:00","04/25/2019 00:00","24:00"
"Day 4","04/25/2019 00:00","04/26/2019 00:00","24:00"
"Day 5","04/26/2019 00:00","04/27/2019 00:00","24:00"
"Day 6","04/29/2019 00:00","04/30/2019 00:00","24:00"
"Day 1","04/30/2019 00:00","05/01/2019 00:00","24:00"
"Day 2","05/01/2019 00:00","05/02/2019 00:00","24:00"
"Day 3","05/02/2019 00:00","05/03/2019 00:00","24:00"
"Day 4","05/03/2019 00:00","05/04/2019 00:00","24:00"
"Day 5","05/06/2019 00:00","05/07/2019 00:00","24:00"
"Day 6","05/07/2019 00:00","05/08/2019 00:00","24:00"
"Day 1","05/08/2019 00:00","05/09/2019 00:00","24:00"
"Day 2","05/09/2019 00:00","05/10/2019 00:00","24:00"
"Day 3","05/10/2019 00:00","05/11/2019 00:00","24:00"
"Day 4","05/13/2019 00:00","05/14/2019 00:00","24:00"
"Day 5","05/14/2019 00:00","05/15/2019 00:00","24:00"
"Day 6","05/15/2019 00:00","05/16/2019 00:00","24:00"
"Day 1","05/16/2019 00:00","05/17/2019 00:00","24:00"
"Day 2","05/17/2019 00:00","05/18/2019 00:00","24:00"
"Day 3","05/20/2019 00:00","05/21/2019 00:00","24:00"
"Day 4","05/21/2019 00:00","05/22/2019 00:00","24:00"
"Day 5","05/22/2019 00:00","05/23/2019 00:00","24:00"
"Day 6","05/23/2019 00:00","05/24/2019 00:00","24:00"
"Day 1","05/24/2019 00:00","05/25/2019 00:00","24:00"
"Day 2","05/28/2019 00:00","05/29/2019 00:00","24:00"
"Day 3","05/29/2019 00:00","05/30/2019 00:00","24:00"
"Day 4","05/30/2019 00:00","05/31/2019 00:00","24:00"
"Day 5","05/31/2019 00:00","06/01/2019 00:00","24:00"
"Day 6","06/03/2019 00:00","06/04/2019 00:00","24:00"
"Day 1","06/04/2019 00:00","06/05/2019 00:00","24:00"
"Day 2","06/05/2019 00:00","06/06/2019 00:00","24:00"
"Day 3","06/06/2019 00:00","06/07/2019 00:00","24:00"
"Day 4","06/07/2019 00:00","06/08/2019 00:00","24:00"
